uf,numeroZE,numeroLocalVotacao,nome,endereco,quantidadeSecoes,latitude,longitude
DF,6,1899,CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES,Q. 10K CONJ.C - ÁREA ESPECIAL - ST. HAB. ARAPOANGA,15,-15.6362664,-47.6327492
DF,6,1902,ESCOLA CLASSE 07 -- BLOCO 02,QUADRA 45 BAIRRO NOSSA SRA DE FATIMA,2,-15.64056871,-47.66428061
DF,6,1910,ESCOLA CLASSE 15,ESTÂNCIA NOVA PLANALTINA QUADRA 01 ÁREA ESPECIAL,13,-15.6184137,-47.6852786
DF,6,1929,ESCOLA CLASSE 02 DO ARAPOANGA,"EM FRENTE A QUADRA 21, CONJ F  ÁREA ESPECIAL-ARAPOANGA",9,-15.6399686,-47.6293286
DF,6,1937,CENTRO EDUCACIONAL DELTA,QUADRA 01 CONJ. F LOTES 21/31,9,-15.61338926,-47.64592826
DF,8,1325,ESCOLA CLASSE 06,EQNM 04/06,18,-15.8109826,-48.1105795
DF,8,1341,CENTRO DE ENSINO 20,EQNM 08/10,19,-15.8014398,-48.1165698
DF,8,1350,ESCOLA CLASSE 27,EQNN 07/09,9,-15.8028358,-48.1196467
DF,8,1406,ESCOLA CLASSE 07 ( CEF 35 ),EQNN 01/03,18,-15.8180779,-48.1121004
DF,8,1422,ESCOLA CLASSE 08,EQNN 05/07,14,-15.8083337,-48.1174035
DF,8,1430,ESCOLA CLASSE 28,EQNN 17/19,9,-15.8205276,-48.1181365
DF,8,1457,CENTRO EDUCACIONAL 07,QNN 13,4,-15.8119053,-48.1184777
DF,8,1465,CENTRO DE ENSINO MARIA DO ROSARIO G.SILVA,EQNN 21/23,14,-15.8098776,-48.1221603
DF,8,1473,CENTRO DE ENSINO 10,EQNN 23/25,14,-15.8054684,-48.1250076
DF,8,1490,CENTRO DE ENSINO 23-(CENTRO EDUCACIONAL 11),EQNP 05/01 - SETOR P NORTE,16,-15.8228021,-48.125118
DF,8,1708,ESCOLA CLASSE 29,EQNN 19/21,10,-15.8155905,-48.1209861
DF,8,1716,ESCOLA CLASSE 26,EQNN 03/05,5,-15.8127135,-48.114328
DF,8,1740,ESCOLA CLASSE 10,EQNM 02/04,9,-15.8155063,-48.1075953
DF,8,1759,ESCOLA CLASSE 11,EQNM 06/08,7,-15.8057371,-48.1130341
DF,8,1791,CENTRO EDUCACIONAL 05-(CEF 25),QNP 09 - SETOR P NORTE,20,-15.8150692,-48.1280841
DF,8,1805,ESCOLA CLASSE 39,EQNP 15/11 - SETOR P NORTE,15,-15.81375503,-48.13318283
DF,8,1813,ESCOLA CLASSE 35,EQNP 13/09 - SETOR P NORTE,16,-15.8123806,-48.1292357
DF,8,1821,ESCOLA CLASSE 40,EQNP 11/07 - SETOR P NORTE,13,-15.8192738,-48.1305616
DF,8,1830,ESCOLA CLASSE 36,EQNP 05/09,10,-15.8175702,-48.1272085
DF,8,1848,INSTITUTO DE ENSINO SUPERIOR DE BRASÍLIA-IESB,"QNN 31 ÀREA ESPECIAL, B,C,D E",31,-15.8101632,-48.1250641
DF,8,1856,CENTRO DE ENSINO MEDIO 03,QNM 13  A.E,14,-15.826827,-48.0984838
DF,8,1864,ESCOLA CLASSE 02,EQNM 19/21,11,-15.8234078,-48.0956741
DF,8,1872,ESCOLA CLASSE 20,EQNN 02/04,10,-15.8232782,-48.1093751
DF,8,1880,ESCOLA CLASSE 01,EQNM 23/25,8,-15.833802,-48.0917904
DF,8,1899,CENTRO DE ENSINO FUNDAMENTAL 02,EQNM 01/03,13,-15.8211083,-48.1049231
DF,8,1902,ESCOLA CLASSE 19,EQNM 07/09,6,-15.8360155,-48.0972243
DF,8,1910,ESCOLA NORMAL DE CEILANDIA,EQNM 17/19,9,-15.8179617,-48.0988116
DF,8,1929,ESCOLA CLASSE 12,EQNM 20/22,8,-15.8073356,-48.1051336
